t	v
45.8	-67.397
45.9	-67.4076
46	-67.4181
46.1	-67.4287
46.2	-67.4392
46.3	-67.4497
46.4	-67.4602
46.5	-67.4707
46.6	-67.4812
46.7	-67.4916
46.8	-67.5021
46.9	-67.5125
47	-67.5229
47.1	-67.5333
47.2	-67.5437
47.3	-67.5541
47.4	-67.5644
47.5	-67.5747
47.6	-67.585
47.7	-67.5953
47.8	-67.6056
47.9	-67.6158
48	-67.6261
48.1	-67.6363
48.2	-67.6465
48.3	-67.6566
48.4	-67.6668
48.5	-67.6769
48.6	-67.687
48.7	-67.6971
48.8	-67.7071
48.9	-67.7171
49	-67.7272
49.1	-67.7371
49.2	-67.7471
49.3	-67.757
49.4	-67.767
49.5	-67.7768
49.6	-67.7867
49.7	-67.7966
49.8	-67.8064
49.9	-67.8162
50	-67.8259
50.1	-67.8357
50.2	-67.8454
50.3	-67.8551
50.4	-67.8648
50.5	-67.8744
50.6	-67.884
50.7	-67.8936
50.8	-67.9032
50.9	-67.9127
51	-67.9208
51.1	-67.9258
51.2	-67.9279
51.3	-67.9274
51.4	-67.9245
51.5	-67.9197
51.6	-67.9132
51.7	-67.9053
51.8	-67.8961
51.9	-67.8859
52	-67.875
52.1	-67.8633
52.2	-67.8513
52.3	-67.8388
52.4	-67.8261
52.5	-67.8133
52.6	-67.8005
52.7	-67.7876
52.8	-67.7749
52.9	-67.7623
53	-67.75
53.1	-67.7379
53.2	-67.7261
53.3	-67.7146
53.4	-67.7034
53.5	-67.6927
53.6	-67.6823
53.7	-67.6723
53.8	-67.6627
53.9	-67.6535
54	-67.6447
54.1	-67.6364
54.2	-67.6285
54.3	-67.6211
54.4	-67.614
54.5	-67.6074
54.6	-67.6012
54.7	-67.5954
54.8	-67.5901
54.9	-67.5851
55	-67.5805
55.1	-67.5764
55.2	-67.5726
55.3	-67.5692
55.4	-67.5662
55.5	-67.5635
55.6	-67.5612
55.7	-67.5592
55.8	-67.5576
55.9	-67.5563
56	-67.5553
56.1	-67.5547
56.2	-67.5543
56.3	-67.5543
56.4	-67.5545
56.5	-67.5551
56.6	-67.5559
56.7	-67.5569
56.8	-67.5583
56.9	-67.5599
57	-67.5617
57.1	-67.5637
57.2	-67.566
57.3	-67.5686
57.4	-67.5713
57.5	-67.5743
57.6	-67.5774
57.7	-67.5808
57.8	-67.5843
57.9	-67.588
58	-67.592
58.1	-67.596
58.2	-67.6003
58.3	-67.6047
58.4	-67.6093
58.5	-67.614
58.6	-67.6189
58.7	-67.6239
58.8	-67.6291
58.9	-67.6344
59	-67.6398
59.1	-67.6454
59.2	-67.6511
59.3	-67.6569
59.4	-67.6628
59.5	-67.6688
59.6	-67.6749
59.7	-67.6811
59.8	-67.6874
59.9	-67.6938
60	-67.7003
60.1	-67.7069
60.2	-67.7136
60.3	-67.7203
60.4	-67.7272
60.5	-67.7341
60.6	-67.741
60.7	-67.7481
60.8	-67.7552
60.9	-67.7624
61	-67.7696
61.1	-67.7769
61.2	-67.7842
61.3	-67.7916
61.4	-67.7991
61.5	-67.8066
61.6	-67.8141
61.7	-67.8217
61.8	-67.8293
61.9	-67.837
62	-67.8447
62.1	-67.8525
62.2	-67.8603
62.3	-67.8681
62.4	-67.8759
62.5	-67.8838
62.6	-67.8917
62.7	-67.8997
62.8	-67.9076
62.9	-67.9156
63	-67.9236
63.1	-67.9316
63.2	-67.9397
63.3	-67.9477
63.4	-67.9558
63.5	-67.9639
63.6	-67.972
63.7	-67.9801
63.8	-67.9883
63.9	-67.9964
64	-68.0046
64.1	-68.0127
64.2	-68.0209
64.3	-68.0291
64.4	-68.0372
64.5	-68.0454
64.6	-68.0536
64.7	-68.0618
64.8	-68.07
64.9	-68.0782
65	-68.0864
65.1	-68.0946
65.2	-68.1028
65.3	-68.1109
65.4	-68.1191
65.5	-68.1273
65.6	-68.1355
65.7	-68.1437
65.8	-68.1518
65.9	-68.16
66	-68.1682
66.1	-68.1763
66.2	-68.1845
66.3	-68.1926
66.4	-68.2007
66.5	-68.2088
66.6	-68.2169
66.7	-68.225
66.8	-68.2331
66.9	-68.2412
67	-68.2493
67.1	-68.2573
67.2	-68.2654
67.3	-68.2734
67.4	-68.2814
67.5	-68.2894
67.6	-68.2974
67.7	-68.3054
67.8	-68.3133
67.9	-68.3213
68	-68.3292
68.1	-68.3371
68.2	-68.345
68.3	-68.3529
68.4	-68.3608
68.5	-68.3687
68.6	-68.3765
68.7	-68.3843
68.8	-68.3921
68.9	-68.3999
69	-68.4077
69.1	-68.4154
69.2	-68.4232
69.3	-68.4309
69.4	-68.4386
69.5	-68.4463
69.6	-68.4539
69.7	-68.4616
69.8	-68.4692
69.9	-68.4768
70	-68.4844
70.1	-68.492
70.2	-68.4995
70.3	-68.507
70.4	-68.5145
70.5	-68.522
70.6	-68.5295
70.7	-68.537
70.8	-68.5444
70.9	-68.5518
71	-68.5592
71.1	-68.5666
71.2	-68.5739
71.3	-68.5813
71.4	-68.5886
71.5	-68.5959
71.6	-68.6031
71.7	-68.6104
71.8	-68.6176
71.9	-68.6248
72	-68.632
72.1	-68.6392
72.2	-68.6463
72.3	-68.6535
72.4	-68.6606
72.5	-68.6676
72.6	-68.6747
72.7	-68.6818
72.8	-68.6888
72.9	-68.6958
73	-68.7028
73.1	-68.7097
73.2	-68.7167
73.3	-68.7236
73.4	-68.7305
73.5	-68.7373
73.6	-68.7442
73.7	-68.751
73.8	-68.7579
73.9	-68.7646
74	-68.7714
74.1	-68.7782
74.2	-68.7849
74.3	-68.7916
74.4	-68.7983
74.5	-68.805
74.6	-68.8116
74.7	-68.8182
74.8	-68.8248
74.9	-68.8314
75	-68.838
75.1	-68.8445
75.2	-68.851
75.3	-68.8575
75.4	-68.864
75.5	-68.8705
75.6	-68.8769
75.7	-68.8833
75.8	-68.8897
75.9	-68.8961
76	-68.9025
76.1	-68.9088
76.2	-68.9151
76.3	-68.9214
76.4	-68.9277
76.5	-68.9339
76.6	-68.9402
76.7	-68.9464
76.8	-68.9526
76.9	-68.9588
77	-68.9649
77.1	-68.971
77.2	-68.9772
77.3	-68.9832
77.4	-68.9893
77.5	-68.9954
77.6	-69.0014
77.7	-69.0074
77.8	-69.0134
77.9	-69.0194
78	-69.0253
78.1	-69.0313
78.2	-69.0372
78.3	-69.0431
78.4	-69.0489
78.5	-69.0548
78.6	-69.0606
78.7	-69.0664
78.8	-69.0722
78.9	-69.078
79	-69.0838
79.1	-69.0895
79.2	-69.0952
79.3	-69.1009
79.4	-69.1066
79.5	-69.1123
79.6	-69.1179
79.7	-69.1235
79.8	-69.1291
79.9	-69.1347
80	-69.1403
80.1	-69.1458
80.2	-69.1514
80.3	-69.1569
80.4	-69.1624
80.5	-69.1679
80.6	-69.1733
80.7	-69.1787
80.8	-69.1842
80.9	-69.1896
81	-69.1949
81.1	-69.2003
81.2	-69.2057
81.3	-69.211
81.4	-69.2163
81.5	-69.2216
81.6	-69.2269
81.7	-69.2321
81.8	-69.2373
81.9	-69.2426
82	-69.2478
82.1	-69.2529
82.2	-69.2581
82.3	-69.2633
82.4	-69.2684
82.5	-69.2735
82.6	-69.2786
82.7	-69.2837
82.8	-69.2887
82.9	-69.2938
83	-69.2988
83.1	-69.3038
83.2	-69.3088
83.3	-69.3138
